id;name;url;parent_id;depth
897;Suplementy i odżywki;https://sklep.sfd.pl//sklep.sfd.pl/Suplementy_i_odzywki-k897.html;;0
119;Białko;https://sklep.sfd.pl//sklep.sfd.pl/Odzywki_bialkowe-k119.html;897;1
162;Koncentrat białka WPC;https://sklep.sfd.pl//sklep.sfd.pl/Koncentraty_WPC-k162.html;119;2
161;Izolat białka WPI;https://sklep.sfd.pl//sklep.sfd.pl/Izolaty_WPI-k161.html;119;2
163;Mieszanki białek;https://sklep.sfd.pl//sklep.sfd.pl/Wieloskladnikowe-k163.html;119;2
1349;Białko dla Kobiet;https://sklep.sfd.pl//sklep.sfd.pl/Bialko_dla_Kobiet-k1349.html;119;2
899;Białko wegańskie/roślinne;https://sklep.sfd.pl//sklep.sfd.pl/Bialka_weganskieroslinne-k899.html;119;2
112;Kreatyna;https://sklep.sfd.pl//sklep.sfd.pl/Kreatyny-k112.html;897;1
174;Monohydrat kreatyny;https://sklep.sfd.pl//sklep.sfd.pl/Monohydraty-k174.html;112;2
175;Jabłczan kreatyny;https://sklep.sfd.pl//sklep.sfd.pl/Jablczan_i_inne_formy-k175.html;112;2
113;Mix kreatyn;https://sklep.sfd.pl//sklep.sfd.pl/Mix_kreatyn-k113.html;112;2
686;Kreatyna HCL;https://sklep.sfd.pl//sklep.sfd.pl/Kreatyna_HCL-k686.html;112;2
154;Przed treningiem;https://sklep.sfd.pl//sklep.sfd.pl/Przedtreningowki-k154.html;897;1
904;Cytrulina;https://sklep.sfd.pl//sklep.sfd.pl/Cytrulina-k904.html;154;2
147;Przedtreningówki pobudzające;https://sklep.sfd.pl//sklep.sfd.pl/Przedtreningowki_ze_stymulantami-k147.html;154;2
149;Przedtreningówki pompujące;https://sklep.sfd.pl//sklep.sfd.pl/Przedtreningowki_bez_stymulantow-k149.html;154;2
152;Beta alanina;https://sklep.sfd.pl//sklep.sfd.pl/Beta_alanina-k152.html;154;2
903;Arginina i AAKG;https://sklep.sfd.pl//sklep.sfd.pl/Arginina_i_AAKG-k903.html;154;2
902;Kofeina;https://sklep.sfd.pl//sklep.sfd.pl/Kofeina-k902.html;154;2
872;Węglowodany;https://sklep.sfd.pl//sklep.sfd.pl/Weglowodany-k872.html;897;1
167;Carbo;https://sklep.sfd.pl//sklep.sfd.pl/Carbo-k167.html;872;2
267;Izotoniki;https://sklep.sfd.pl//sklep.sfd.pl/Izotoniki-k267.html;872;2
905;Węglowodany premium;https://sklep.sfd.pl//sklep.sfd.pl/Weglowodany_premium-k905.html;872;2
